orden,hora,lat,lon,temp,P_A,P_B,P_C,P_D,ocup_P_A,ocup_P_B,ocup_P_C,ocup_P_D,P_fmax,P_fmin
1.0,2019-11-07 09:11:00,6.24325666667,-75.58667,42.807022,-71.30120824628494,-70.22113596908186,-38.50085510316339,-71.985457251874,False,False,True,False,-27.06617521554095,-95.0
2.0,2019-11-07 09:15:22,6.24116166667,-75.5882083333,44.561401,-73.04692843701471,-66.9654078201633,-37.84076683920414,-64.24818223411701,False,False,True,False,-26.62983670975406,-64.0781606719127
3.0,2019-11-07 09:16:14,6.23996166667,-75.5893966667,45.1462,-95.0,-75.43943089821437,-44.312849200551355,-95.0,False,False,True,False,-26.379585785158767,-95.0
4.0,2019-11-07 09:17:30,6.23917166667,-75.5928066667,45.438599,-95.0,-95.0,-65.13842472098997,-95.0,False,False,False,False,-53.742535786635315,-95.0
5.0,2019-11-07 09:18:38,6.23902333333,-75.5963133333,45.438599,-95.0,-95.0,-65.59072140819953,-95.0,False,False,False,False,-56.62875701756896,-95.0
6.0,2019-11-07 09:20:36,6.23881166667,-75.6021883333,46.315788,-73.90023527314254,-63.46747514429627,-49.978737175686454,-74.15037143345522,False,False,True,False,-40.93555977772097,-95.0
7.0,2019-11-07 09:23:24,6.231855,-75.6021816667,44.561401,-82.06679312127474,-95.0,-61.58648109621243,-95.0,False,False,False,False,-61.04088013186818,-95.0
8.0,2019-11-07 09:26:18,6.22636,-75.60079,45.438599,-95.0,-95.0,-73.83068400335654,-95.0,False,False,False,False,-63.935228473795306,-95.0
9.0,2019-11-07 09:28:44,6.220865,-75.5993983333,46.608187,-65.94568210736992,-34.144596492138945,-58.549918377287746,-45.11630291551889,False,True,True,True,-60.06050590820252,-95.0
10.0,2019-11-07 09:29:18,6.21840666667,-75.5988933333,46.608187,-95.0,-95.0,-65.43877576875082,-95.0,False,False,False,False,-52.23229896583901,-95.0
11.0,2019-11-07 09:30:32,6.21624333333,-75.5977616667,47.192986,-74.40142277683753,-76.15827880461286,-62.261119842508336,-76.9389202885827,False,False,False,False,-95.0,-95.0
12.0,2019-11-07 09:31:30,6.21274333333,-75.59598,47.192986,-82.85427121275406,-81.16205478072926,-75.89868175859989,-95.0,False,False,False,False,-64.26065507163243,-95.0
13.0,2019-11-07 09:33:16,6.21056833333,-75.5948316667,47.192983,-79.16391361923517,-95.0,-65.12844045523548,-95.0,False,False,False,False,-57.069003543479546,-95.0
14.0,2019-11-07 09:35:04,6.20776833333,-75.5896233333,47.485382,-69.27431030262018,-95.0,-67.17867302231431,-95.0,False,False,False,False,-95.0,-95.0
15.0,2019-11-07 09:35:50,6.20481166667,-75.5880366667,48.070175,-95.0,-95.0,-50.848448142882916,-95.0,False,False,True,False,-37.976540783506266,-95.0
16.0,2019-11-07 09:36:58,6.20118666667,-75.5844883333,48.654973,-28.830839143006195,-26.93596408028652,-11.325574533837264,-28.498338691546433,True,True,True,True,-14.1143490108633,-38.49815743426825
17.0,2019-11-07 09:39:32,6.19907166667,-75.58494833329999,47.485382,-54.99399947214394,-63.36910979830754,-38.230534280258844,-65.21114216244922,True,False,True,False,-40.868582941991924,-61.22152764086917
18.0,2019-11-07 09:44:50,6.19695666667,-75.5854083333,48.070175,-56.06519298769949,-33.19225687578603,-35.81308415014232,-42.60606758533189,True,True,True,True,-35.11655480584731,-58.73046597681874
19.0,2019-11-07 09:47:46,6.195625,-75.5832933333,47.777779,-95.0,-95.0,-60.176586956042115,-95.0,False,False,False,False,-57.612654671975264,-95.0
20.0,2019-11-07 09:50:34,6.18688666667,-75.5858483333,48.070178,-60.661719323318444,-29.23752264379722,-51.20178424949623,-42.869996776692325,False,True,True,True,-40.38484724404249,-60.82040828241017
21.0,2019-11-07 09:51:56,6.18019,-75.5915766667,48.070175,-68.1929158602355,-61.414291972581154,-46.03202668544249,-70.11733798423523,False,False,True,False,-45.67676757708847,-95.0
22.0,2019-11-07 09:53:04,6.17415333333,-75.59803,47.485382,-54.429797419254555,-52.010324345330716,-31.12782337463988,-52.73606882747713,True,True,True,True,-29.859899556419414,-53.285485677385644
23.0,2019-11-07 09:54:02,6.17022333333,-75.603515,48.070178,-60.30483523301118,-57.028565896898584,-30.37595760037521,-55.782541233172616,False,True,True,True,-20.447563388496196,-62.451532050112554
24.0,2019-11-07 09:57:00,6.16859666667,-75.605795,48.654973,-45.1207995287589,-26.716392833800306,-20.206703812964175,-41.92824667547303,True,True,True,True,-11.984652152783521,-39.73813981558554
25.0,2019-11-07 09:58:22,6.16463666667,-75.6060066667,48.070175,-50.33887950897969,-46.36605570597724,-23.546851823789105,-46.65970548386203,True,True,True,True,-22.91635432548272,-57.69648190741189
26.0,2019-11-07 09:59:16,6.16087166667,-75.6051433333,48.362574,-85.73031009797404,-76.67864927791881,-44.80720870953335,-70.43911735420653,False,False,True,False,-46.779203348573176,-95.0
27.0,2019-11-07 10:00:22,6.158005,-75.609505,48.070175,-77.53837225368807,-71.51182743633562,-52.9805220648526,-80.34081656011972,False,False,True,False,-54.92004530790492,-95.0
28.0,2019-11-07 10:02:46,6.16251666667,-75.6029866667,48.070175,-55.16217283578737,-28.7598871575338,-32.02603026195989,-39.41789324853755,True,True,True,True,-29.45828570175867,-57.73182337104953
