orden,archivo,hora,temp,lon,lat,alt,hdop,gps_imputado,saturacion,picos_corregidos,dist_prev_m
1.0,001.txt,2019-11-07 09:11:00,42.807022,-75.58667,6.24325666667,1500.6,0.8,False,False,0,
2.0,002.txt,2019-11-07 09:15:22,44.561401,-75.5882083333,6.24116166667,1504.8,0.9,False,False,0,288.41135862055467
3.0,003.txt,2019-11-07 09:16:14,45.1462,-75.5893966667,6.23996166667,1506.3,0.8,False,False,3,187.23885008348037
4.0,004.txt,2019-11-07 09:17:30,45.438599,-75.5928066667,6.23917166667,1514.0,0.8,False,False,2,387.0293003821555
5.0,005.txt,2019-11-07 09:18:38,45.438599,-75.5963133333,6.23902333333,1526.6,0.8,False,False,2,387.9648015323431
6.0,006.txt,2019-11-07 09:20:36,46.315788,-75.6021883333,6.23881166667,1543.8,0.8,False,False,0,649.8274937623282
7.0,007.txt,2019-11-07 09:23:24,44.561401,-75.6021816667,6.231855,1547.3,0.8,False,False,1,773.5463910625762
8.0,008.txt,2019-11-07 09:26:18,45.438599,-75.60079,6.22636,1545.0,4.4,True,False,2,630.0834749425806
9.0,009.txt,2019-11-07 09:28:44,46.608187,-75.5993983333,6.220865,1542.7,1.1,False,False,2,630.0838679259944
10.0,010.txt,2019-11-07 09:29:18,46.608187,-75.5988933333,6.21840666667,1534.7,1.1,False,False,1,278.9959016456075
11.0,011.txt,2019-11-07 09:30:32,47.192986,-75.5977616667,6.21624333333,1531.5,1.2,False,False,0,271.13463226055734
12.0,012.txt,2019-11-07 09:31:30,47.192986,-75.59598,6.21274333333,1530.7,1.2,False,False,1,436.1781492224933
13.0,013.txt,2019-11-07 09:33:16,47.192983,-75.5948316667,6.21056833333,1544.4,1.0,False,False,1,273.1381986890926
14.0,014.txt,2019-11-07 09:35:04,47.485382,-75.5896233333,6.20776833333,1535.0,1.0,False,False,6,654.5349502294138
15.0,015.txt,2019-11-07 09:35:50,48.070175,-75.5880366667,6.20481166667,1526.8,1.0,False,False,1,372.62688075541985
16.0,016.txt,2019-11-07 09:36:58,48.654973,-75.5844883333,6.20118666667,1528.0,1.0,False,True,0,562.4342002643752
17.0,017.txt,2019-11-07 09:39:32,47.485382,-75.58494833329999,6.19907166667,1529.65,17.3,True,False,16,240.6119683713025
18.0,018.txt,2019-11-07 09:44:50,48.070175,-75.5854083333,6.19695666667,1531.3,1.0,False,False,0,240.6120114604644
19.0,019.txt,2019-11-07 09:47:46,47.777779,-75.5832933333,6.195625,1530.5,0.9,False,False,5,276.7491437512633
20.0,020.txt,2019-11-07 09:50:34,48.070178,-75.5858483333,6.18688666667,1537.7,1.0,False,False,1,1011.8772916252102
21.0,021.txt,2019-11-07 09:51:56,48.070175,-75.5915766667,6.18019,1547.6,1.0,False,False,1,977.4940658408954
22.0,022.txt,2019-11-07 09:53:04,47.485382,-75.59803,6.17415333333,1558.4,0.9,False,False,0,979.5551334802639
23.0,023.txt,2019-11-07 09:54:02,48.070178,-75.603515,6.17022333333,1568.8,0.9,False,False,2,747.427980507879
24.0,024.txt,2019-11-07 09:57:00,48.654973,-75.605795,6.16859666667,1574.0,1.0,False,False,3,310.2399338712309
25.0,025.txt,2019-11-07 09:58:22,48.070175,-75.6060066667,6.16463666667,1578.9,0.9,False,False,0,440.9532334407282
26.0,026.txt,2019-11-07 09:59:16,48.362574,-75.6051433333,6.16087166667,1584.9,1.2,False,False,0,429.3906906850231
27.0,027.txt,2019-11-07 10:00:22,48.070175,-75.609505,6.158005,1589.6,1.4,False,False,0,578.0307811677312
28.0,028.txt,2019-11-07 10:02:46,48.070175,-75.6029866667,6.16251666667,1577.9,1.0,False,False,0,878.0494644500859
29.0,029.txt,2019-11-07 10:03:38,48.070175,-75.6004483333,6.16507,1569.2,1.0,False,False,0,399.19392926564535
30.0,030.txt,2019-11-07 10:04:46,48.362574,-75.5965416667,6.16771,1563.9,1.3,False,False,0,522.2084421311167
31.0,031.txt,2019-11-07 10:05:18,48.362574,-75.594955,6.16734166667,1565.9,1.0,False,False,0,180.12625279617055
32.0,032.txt,2019-11-07 10:06:54,48.947372,-75.5951666667,6.17039333333,1562.3,1.0,False,False,4,340.13571743047646
33.0,033.txt,2019-11-07 10:08:28,48.362574,-75.5921633333,6.173835,1567.3,0.8,False,False,0,506.6489599161033
34.0,034.txt,2019-11-07 10:10:14,48.654973,-75.5882983333,6.17920166667,1540.2,0.9,False,False,0,733.940518827693
35.0,035.txt,2019-11-07 10:11:56,48.947372,-75.5859616667,6.17748333333,1564.1,0.9,False,False,0,321.3021204044597
36.0,036.txt,2019-11-07 10:14:06,48.947372,-75.58374,6.17896166667,1555.8,1.0,False,False,0,295.53812641310503
37.0,037.txt,2019-11-07 10:16:12,48.947372,-75.5797116667,6.183435,1556.1,0.8,False,False,1,667.6331472371922
38.0,038.txt,2019-11-07 10:17:36,49.239769,-75.577865,6.18726333333,1574.7,0.9,False,False,1,472.1102087613029
39.0,039.txt,2019-11-07 10:19:32,49.824562,-75.5763916667,6.19392,1560.6,0.9,False,False,3,757.8950256242808
40.0,040.txt,2019-11-07 10:20:12,49.532166,-75.5745933333,6.19710833333,1565.1,1.2,False,False,3,406.4597548479078
41.0,041.txt,2019-11-07 10:21:18,49.239769,-75.5740483333,6.19830166667,1561.3,0.9,False,False,1,145.72932177683936
42.0,042.txt,2019-11-07 10:23:24,49.239769,-75.5733716667,6.199565,1558.1,1.0,False,False,0,159.1505913999706
43.0,043.txt,2019-11-07 10:24:10,49.532166,-75.572355,6.20146,1553.2,1.0,False,False,0,238.81238630092693
44.0,044.txt,2019-11-07 10:24:52,49.532166,-75.5718583333,6.202915,1549.1,0.9,False,False,0,170.8506907984637
45.0,045.txt,2019-11-07 10:26:10,49.239769,-75.57146,6.20574666667,1546.7,0.9,False,False,1,317.93101610091594
46.0,046.txt,2019-11-07 10:28:34,49.824562,-75.57089,6.20934833333,1549.0,1.2,False,False,0,405.4134689347778
47.0,047.txt,2019-11-07 10:30:26,49.532166,-75.5703366667,6.21079166667,1551.0,0.8,False,False,5,171.75229315914189
48.0,048.txt,2019-11-07 10:31:22,48.947372,-75.569955,6.21239166667,1553.3,0.8,False,False,0,182.84598596575677
49.0,049.txt,2019-11-07 10:33:52,49.532166,-75.5694416667,6.21962333333,1533.5,0.8,False,False,0,806.1242941954787
50.0,050.txt,2019-11-07 10:35:56,48.947372,-75.56914,6.2267,1513.3,0.9,False,False,0,787.5956717173381
51.0,051.txt,2019-11-07 10:36:54,49.239769,-75.57015,6.22819666667,1508.6,0.9,False,False,0,200.4011363141387
52.0,052.txt,2019-11-07 10:39:02,48.947372,-75.5742516667,6.231,1506.6,0.8,False,False,0,550.2098445737352
53.0,053.txt,2019-11-07 10:40:28,49.532166,-75.5773766667,6.232,1499.0,0.8,False,False,0,362.8868931750747
54.0,054.txt,2019-11-07 10:41:18,48.947372,-75.58073,6.23199,1502.9,0.9,False,False,0,370.67182136551116
55.0,055.txt,2019-11-07 10:43:52,49.532166,-75.58601,6.23184,1509.1,0.8,False,False,0,583.8780606191875
56.0,056.txt,2019-11-07 10:45:52,49.532166,-75.5873216667,6.23434166667,1510.8,0.8,False,False,0,313.69041518253897
57.0,057.txt,2019-11-07 10:47:36,49.239769,-75.5904866667,6.23608333333,1522.1,0.9,False,False,0,399.8762287063785
58.0,058.txt,2019-11-07 10:50:02,49.239769,-75.590845,6.23811,1510.3,1.0,False,False,0,228.80946645835596
59.0,059.txt,2019-11-07 10:50:34,48.947372,-75.590755,6.23820833333,1511.3,0.8,False,False,0,14.782571802384444
60.0,060.txt,2019-11-07 10:53:38,49.824562,-75.589925,6.23899666667,1512.7,0.7,False,False,0,126.89062286458378
61.0,061.txt,2019-11-07 10:54:44,50.409355,-75.5908283333,6.24042333333,1508.1,0.8,False,False,0,187.44671833183205
